feature,importance
ill,0.0007550073025235968
can,0.0007512450579492271
uneven,0.0007490943956832741
problem,0.0007467515403509948
look,0.0007457200707112396
re,0.0007421492211099882
appealing,0.0007413314006976021
there,0.0007367758770941785
badly,0.0007358915980784013
violence,0.0007238121916164858
every,0.0007231278901169534
action,0.0007227334481595655
me,0.0007208462516709995
make,0.0007189229600745019
bore,0.0007150732952068922
nice,0.0007114746956368064
adventure,0.0007077112020453002
fresh,0.0007075937764976614
perfectly,0.0007072342650804158
short,0.0007062551431653613
thriller,0.0007020712969003813
nor,0.0007015084675764536
hackneyed,0.0007007146960828036
failure,0.0006992656226537333
spirit,0.0006973806800958163
comic,0.0006971760533936967
seem,0.0006965572905802002
itself,0.0006915063912658576
obvious,0.0006762597862050181
own,0.0006723984558194371
listless,0.0006718686691706304
old,0.0006702130183121981
ca,0.0006687498390355822
neither,0.0006670483214062789
empty,0.000664379318774821
heavy,0.0006621831108418605
painful,0.0006606858727528306
dreary,0.0006588095097196883
inept,0.0006574933091798394
repetitive,0.0006546120026360672
barely,0.0006531119184409229
beauty,0.0006461329288889374
should,0.0006460357149720235
weak,0.0006437919425666678
drag,0.0006436793056182197
they,0.0006378009385297715
unique,0.0006364182891343792
soap,0.0006347495850976904
lousy,0.0006339863911282483
keep,0.0006337725940320066
hard,0.0006317531892224525
feel,0.0006300530658832857
really,0.0006297769533363044
same,0.0006270579361537774
mindless,0.0006251622825909533
might,0.0006235233465990316
unpleasant,0.0006229406145236266
true,0.0006170805528571727
engrossing,0.0006150438000231553
her,0.0006149061790889533
quirky,0.0006142783761532577
sense,0.000612608906557911
falls,0.0006084526718277053
pleasure,0.0006071577843270187
mean,0.0006067294433376222
warmth,0.0006053439012683593
unnecessary,0.0006048358403375737
which,0.0006047363100831166
instead,0.0006046551915536388
he,0.0006044021455917522
becomes,0.0006000691328827952
enjoy,0.0005997451709156342
did,0.0005988371890936445
wannabe,0.0005979627939785304
movies,0.000593993718175297
other,0.0005918479171905719
surprising,0.0005912737221878112
manipulative,0.0005911736343231603
suffers,0.0005908856138222913
hollywood,0.0005899982875076669
mediocre,0.0005896120765545291
energy,0.0005886177404825318
gentle,0.0005881569983512112
made,0.0005829634359862021
death,0.0005800442712475894
trying,0.0005773555709642567
films,0.0005767572450449494
history,0.0005765971428068129
anything,0.0005762957104050466
